,username,title,numGames,winRate,numWhite,whiteRate,numBlack,blackRate
426,chessczar11,fm,20,0.65,10,0.6,10,0.7
427,miyoloko,fm,85,0.49411764705882355,0,,85,0.49411764705882355
428,will_grigs_on_fire,fm,24,0.5833333333333334,0,,24,0.5833333333333334
429,blitzmaster1995,fm,1,1.0,1,1.0,0,
430,kap5,fm,23,0.5217391304347826,0,,23,0.5217391304347826
431,mattydperrine,fm,4,0.25,0,,4,0.25
432,yartarget,fm,176,0.6477272727272727,90,0.6888888888888889,86,0.6046511627906976
433,mambalelo,fm,14,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143
434,amazingatlas,fm,207,0.4782608695652174,0,,207,0.4782608695652174
435,irakli_akhvlediani,fm,210,0.42857142857142855,0,,210,0.42857142857142855
436,passy234,fm,64,0.484375,32,0.5,32,0.46875
437,masterzhan,fm,1,1.0,0,,1,1.0
438,ymoy,fm,39,0.8205128205128205,20,0.85,19,0.7894736842105263
439,daesdo,fm,276,0.44565217391304346,0,,276,0.44565217391304346
440,shuvatkin_vladimir,fm,141,0.45390070921985815,0,,141,0.45390070921985815
441,chevoraska70,fm,223,0.5426008968609866,111,0.5405405405405406,112,0.5446428571428571
442,pedroholly22,fm,89,0.6179775280898876,46,0.6304347826086957,43,0.6046511627906976
443,tsschessulover,fm,8,0.5,0,,8,0.5
444,fmramakrishna,fm,35,0.42857142857142855,0,,35,0.42857142857142855
445,grugo64,fm,159,0.4779874213836478,0,,159,0.4779874213836478
446,zherom71,fm,137,0.5474452554744526,0,,137,0.5474452554744526
447,omeletking,fm,20,0.55,11,0.8181818181818182,9,0.2222222222222222
448,umuterdemgunduz,fm,23,0.43478260869565216,0,,23,0.43478260869565216
449,mrpurplechess,fm,29,0.5862068965517241,0,,29,0.5862068965517241
450,pedromartinez91,fm,140,0.5642857142857143,71,0.6197183098591549,69,0.5072463768115942
451,siemba,fm,17,0.5294117647058824,0,,17,0.5294117647058824
452,dabee,fm,46,0.5652173913043478,23,0.5652173913043478,23,0.5652173913043478
453,begmuratovkh2010,fm,42,0.5,0,,42,0.5
454,yasinka2016,fm,8,0.625,0,,8,0.625
455,matapatos,fm,147,0.6666666666666666,74,0.7027027027027027,73,0.6301369863013698
456,serlanselot,fm,12,0.5833333333333334,0,,12,0.5833333333333334
457,ghostaverage,fm,25,0.48,12,0.5833333333333334,13,0.38461538461538464
458,yellowdragoon,fm,7,0.42857142857142855,4,0.5,3,0.3333333333333333
459,kaliopa,fm,3,0.0,0,,3,0.0
460,eulero78,fm,28,0.7857142857142857,15,0.9333333333333333,13,0.6153846153846154
461,radojeiriz,fm,11,0.45454545454545453,0,,11,0.45454545454545453
462,kochichess,fm,138,0.6086956521739131,69,0.6231884057971014,69,0.5942028985507246
463,theturtlemoves,fm,55,0.5272727272727272,28,0.5,27,0.5555555555555556
464,lz31415,fm,1197,0.5597326649958229,602,0.5697674418604651,595,0.5495798319327732
465,doraemon7,fm,296,0.4797297297297297,0,,296,0.4797297297297297
